timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2025/12/18 20:20:21.340, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2962 MiB, 10240 MiB, 72, 310.92 W
2025/12/18 20:20:22.340, NVIDIA GeForce RTX 3080, 99 %, 84 %, 2962 MiB, 10240 MiB, 72, 312.76 W
2025/12/18 20:20:23.340, NVIDIA GeForce RTX 3080, 99 %, 82 %, 2962 MiB, 10240 MiB, 72, 312.42 W
2025/12/18 20:20:24.340, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2962 MiB, 10240 MiB, 72, 312.32 W
2025/12/18 20:20:25.341, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2962 MiB, 10240 MiB, 72, 311.15 W
2025/12/18 20:20:26.341, NVIDIA GeForce RTX 3080, 98 %, 81 %, 2962 MiB, 10240 MiB, 72, 312.29 W
2025/12/18 20:20:27.341, NVIDIA GeForce RTX 3080, 98 %, 82 %, 2962 MiB, 10240 MiB, 72, 313.05 W
2025/12/18 20:20:28.341, NVIDIA GeForce RTX 3080, 99 %, 83 %, 2962 MiB, 10240 MiB, 72, 312.17 W
2025/12/18 20:20:29.341, NVIDIA GeForce RTX 3080, 99 %, 88 %, 2979 MiB, 10240 MiB, 72, 311.36 W
2025/12/18 20:20:30.341, NVIDIA GeForce RTX 3080, 98 %, 88 %, 2981 MiB, 10240 MiB, 72, 311.55 W
2025/12/18 20:20:31.342, NVIDIA GeForce RTX 3080, 98 %, 88 %, 3005 MiB, 10240 MiB, 72, 313.65 W
2025/12/18 20:20:32.342, NVIDIA GeForce RTX 3080, 98 %, 77 %, 3024 MiB, 10240 MiB, 72, 312.15 W
2025/12/18 20:20:33.342, NVIDIA GeForce RTX 3080, 99 %, 90 %, 3019 MiB, 10240 MiB, 72, 312.50 W
2025/12/18 20:20:34.342, NVIDIA GeForce RTX 3080, 99 %, 85 %, 3016 MiB, 10240 MiB, 72, 312.95 W
2025/12/18 20:20:35.342, NVIDIA GeForce RTX 3080, 98 %, 82 %, 3018 MiB, 10240 MiB, 72, 312.01 W
2025/12/18 20:20:36.342, NVIDIA GeForce RTX 3080, 98 %, 83 %, 3017 MiB, 10240 MiB, 72, 312.22 W
2025/12/18 20:20:37.342, NVIDIA GeForce RTX 3080, 98 %, 83 %, 2987 MiB, 10240 MiB, 72, 313.37 W
